"","sp.","site","quadrat","tag","x","y","height0","height1","pesticide","exclosure","growth.form","growth.habit","dispersal.mode","mycor.type","shade.tolerance","leaf.lifespan","surv0","surv1","census","quad.unique","plot","quad.sp","A.sum","A.con","A.het","quad.census","quad.census.sp","sum.dens","con.dens","S.con","S.het","lg_A.con","lg_A.het","lg_A.sum","lg_S.con","lg_S.het","lg_height0"
"4765","TIAM",2,105,5023,0.82,0.22,4,0,"F",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","2_1_105","2_1","2_1_105_TIAM",5890.4930558338,1864.8373026849,4025.6557531489,"2_1_105_16fa","2_1_105_16fa_TIAM",26,12,11,14,0.73023154484384,-0.481543038429444,0.274253089429285,0.85662674582279,0.38470548334162,-0.332358117077464
"4768","TIAM",1,108,8014,0.64,0.53,3,3,"W",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_1_108","1_1","1_1_108_TIAM",5021.94681689253,1009.60383322298,4012.34298366955,"1_1_108_16fa","1_1_108_16fa_TIAM",16,7,6,9,0.480674647105788,-0.49387174944404,-0.668185743222753,0.22804613679264,-0.188101771360311,-0.951260365764085
"4769","TIAM",3,201,1017,0.67,0.94,4,5,"F",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","3_0_201","3_0","3_0_201_TIAM",6468.37194250681,1193.23070094386,5275.14124156295,"3_0_201_16fa","3_0_201_16fa_TIAM",26,12,11,14,0.548625010128374,0.524557042940512,0.827141559169036,0.85662674582279,0.38470548334162,-0.332358117077464
"4773","TIAM",2,107,7024,0.14,0.6,5,6.5,"F",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","2_0_107","2_0","2_0_107_TIAM",5463.43624478326,1053.95275833658,4409.48348644668,"2_0_107_16fa","2_0_107_16fa_TIAM",25,8,7,17,0.49815447532524,-0.142588926694009,-0.170385229858597,0.383771162811304,0.642274157764445,0.147699762481336
"4774","TIAM",2,204,4016,0.17,0.18,5,0,"W",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","2_0_204","2_0","2_0_204_TIAM",4289.84552922449,1088.19544574199,3201.6500834825,"2_0_204_16fa","2_0_204_16fa_TIAM",32,15,14,17,0.511155404091958,-1.33394224519263,-1.59907412478437,1.1168579517686,0.642274157764445,0.147699762481336
"4775","TIAM",2,204,4017,0.31,0.2,4,6,"W",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","2_0_204","2_0","2_0_204_TIAM",4289.84552922449,1088.19544574199,3201.6500834825,"2_0_204_16fa","2_0_204_16fa_TIAM",32,15,14,17,0.511155404091958,-1.33394224519263,-1.59907412478437,1.1168579517686,0.642274157764445,-0.332358117077464
"4777","TIAM",3,304,4016,0.25,0.55,4,6,"I",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","3_1_304","3_1","3_1_304_TIAM",5209.91526282827,1696.98864235875,3512.92662046953,"3_1_304_16fa","3_1_304_16fa_TIAM",21,11,10,10,0.691865482009559,-0.988610941932144,-0.451094839522029,0.755153611458568,-0.0534555062511097,-0.332358117077464
"4781","TIAM",3,304,4020,0.15,1,5,0,"I",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","3_1_304","3_1","3_1_304_TIAM",5209.91526282827,1696.98864235875,3512.92662046953,"3_1_304_16fa","3_1_304_16fa_TIAM",21,11,10,10,0.691865482009559,-0.988610941932144,-0.451094839522029,0.755153611458568,-0.0534555062511097,0.147699762481336
"4783","TIAM",1,405,5009,0.6,0.6,5,0,"W",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","1_0_405","1_0","1_0_405_TIAM",4555.44631015827,1847.54032011236,2707.90599004591,"1_0_405_16fa","1_0_405_16fa_TIAM",12,5,4,7,0.726440910923316,-1.95732885761008,-1.24417065312116,-0.1643495895796,-0.503340351639417,0.147699762481336
"4784","TIAM",2,103,3022,0.83,0.95,5,5,"I",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","2_0_103","2_0","2_0_103_TIAM",4217.41245902001,1345.15588541762,2872.2565736024,"2_0_103_16fa","2_0_103_16fa_TIAM",23,11,10,12,0.597363596734606,-1.73802472210579,-1.69967928910414,0.755153611458568,0.182544558141916,0.147699762481336
"4786","TIAM",3,208,8006,0.49,0.08,2,2,"I",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","3_1_208","3_1","3_1_208_TIAM",5733.82778194576,1345.57553418153,4388.25224776423,"3_1_208_16fa","3_1_208_16fa_TIAM",13,7,6,6,0.597490454578445,-0.160552885920608,0.114997772574816,0.22804613679264,-0.691982355343899,-1.82355409277124
"4789","TIAM",3,309,9005,0.9,0.75,3,0,"W",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","3_1_309","3_1","3_1_309_TIAM",6338.59335076924,1819.77869244658,4518.81465832266,"3_1_309_16fa","3_1_309_16fa_TIAM",9,6,5,3,0.720282166916908,-0.0514311288070872,0.707402958063581,0.0482747874860802,-1.4825608213204,-0.951260365764085
"4790","TIAM",3,309,9006,0.95,0.95,3,4,"W",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","3_1_309","3_1","3_1_309_TIAM",6338.59335076924,1819.77869244658,4518.81465832266,"3_1_309_16fa","3_1_309_16fa_TIAM",9,6,5,3,0.720282166916908,-0.0514311288070872,0.707402958063581,0.0482747874860802,-1.4825608213204,-0.951260365764085
"4791","TIAM",1,504,4009,0.09,0.25,4,5,"F",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_1_504","1_1","1_1_504_TIAM",5731.58252468845,2119.35523888656,3612.22728580189,"1_1_504_16fa","1_1_504_16fa_TIAM",33,19,18,14,0.782276154560927,-0.88486220312575,0.112683902323635,1.39253581216569,0.38470548334162,-0.332358117077464
"4793","TIAM",3,309,9008,0.35,0.95,4,4,"W",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","3_1_309","3_1","3_1_309_TIAM",6338.59335076924,1819.77869244658,4518.81465832266,"3_1_309_16fa","3_1_309_16fa_TIAM",9,6,5,3,0.720282166916908,-0.0514311288070872,0.707402958063581,0.0482747874860802,-1.4825608213204,-0.332358117077464
"4794","TIAM",1,303,3006,0.57,0.57,3,5,"W",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_1_303","1_1","1_1_303_TIAM",5358.47775145779,1675.94878562765,3682.52896583014,"1_1_303_16fa","1_1_303_16fa_TIAM",7,6,5,1,0.686790820363796,-0.813121577103752,-0.28498654902191,0.0482747874860802,-2.46178129100138,-0.951260365764085
"4795","TIAM",1,303,3007,0.53,0.68,4,0,"W",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","1_1_303","1_1","1_1_303_TIAM",5358.47775145779,1675.94878562765,3682.52896583014,"1_1_303_16fa","1_1_303_16fa_TIAM",7,6,5,1,0.686790820363796,-0.813121577103752,-0.28498654902191,0.0482747874860802,-2.46178129100138,-0.332358117077464
"4796","TIAM",1,201,1016,0.6,0.9,4,4,"F",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_1_201","1_1","1_1_201_TIAM",5030.88358797884,1795.1507591883,3235.73282879054,"1_1_201_16fa","1_1_201_16fa_TIAM",16,11,10,5,0.714739496516385,-1.2945304622947,-0.657681739147992,0.755153611458568,-0.909753566618466,-0.332358117077464
"4798","TIAM",1,504,4015,0.2,0.51,4,0,"F",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","1_1_504","1_1","1_1_504_TIAM",5731.58252468845,2119.35523888656,3612.22728580189,"1_1_504_16fa","1_1_504_16fa_TIAM",33,19,18,14,0.782276154560927,-0.88486220312575,0.112683902323635,1.39253581216569,0.38470548334162,-0.332358117077464
"4799","TIAM",1,504,4016,0.8,0.08,2,0,"F",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","1_1_504","1_1","1_1_504_TIAM",5731.58252468845,2119.35523888656,3612.22728580189,"1_1_504_16fa","1_1_504_16fa_TIAM",33,19,18,14,0.782276154560927,-0.88486220312575,0.112683902323635,1.39253581216569,0.38470548334162,-1.82355409277124
"4800","TIAM",2,101,1016,0.8,0.47,4,7,"W",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","2_1_101","2_1","2_1_101_TIAM",7368.95708744895,1893.61815678674,5475.33893066221,"2_1_101_16fa","2_1_101_16fa_TIAM",13,6,5,7,0.736461660666954,0.663193740631858,1.59724548505241,0.0482747874860802,-0.503340351639417,-0.332358117077464
"4801","TIAM",2,101,1017,0.8,0.4,4,5,"W",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","2_1_101","2_1","2_1_101_TIAM",7368.95708744895,1893.61815678674,5475.33893066221,"2_1_101_16fa","2_1_101_16fa_TIAM",13,6,5,7,0.736461660666954,0.663193740631858,1.59724548505241,0.0482747874860802,-0.503340351639417,-0.332358117077464
"4802","TIAM",1,105,5010,0.5,0.35,4,0,"F",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","1_1_105","1_1","1_1_105_TIAM",5257.89828227657,1507.53810937172,3750.36017290485,"1_1_105_16fa","1_1_105_16fa_TIAM",14,6,5,8,0.643716015103083,-0.745188584905971,-0.396932536028745,0.0482747874860802,-0.336946311916534,-0.332358117077464
"4804","TIAM",2,410,10023,0.58,0.17,6,6,"I",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","2_0_410","2_0","2_0_410_TIAM",7019.84268580879,1026.24725252681,5993.59543328198,"2_0_410_16fa","2_0_410_16fa_TIAM",30,8,7,22,0.487322848661478,0.999793927918775,1.31050373726361,0.383771162811304,0.988562702558803,0.539935609929693
"4805","TIAM",1,504,4022,0.73,0.5,5,0,"F",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","1_1_504","1_1","1_1_504_TIAM",5731.58252468845,2119.35523888656,3612.22728580189,"1_1_504_16fa","1_1_504_16fa_TIAM",33,19,18,14,0.782276154560927,-0.88486220312575,0.112683902323635,1.39253581216569,0.38470548334162,0.147699762481336
"4806","TIAM",3,408,8004,0.85,0.26,3,3,"F",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","3_0_408","3_0","3_0_408_TIAM",6300.61149550191,1000.43615200222,5300.1753434997,"3_0_408_16fa","3_0_408_16fa_TIAM",13,7,6,6,0.476965702786394,0.542178274065124,0.671895448018921,0.22804613679264,-0.691982355343899,-0.951260365764085
"4807","TIAM",2,405,5020,0.75,0.15,5,0,"W",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","2_1_405","2_1","2_1_405_TIAM",7016.94991288203,3029.23464907904,3987.71526380299,"2_1_405_16fa","2_1_405_16fa_TIAM",20,2,1,18,0.927598119081535,-0.516787243510182,1.30806868124432,-1.23293275386211,0.718655814202628,0.147699762481336
"4808","TIAM",2,504,4024,0.38,0.73,6,6,"F",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","2_0_504","2_0","2_0_504_TIAM",4916.8112276048,1654.01155886221,3262.79966874259,"2_0_504_16fa","2_0_504_16fa_TIAM",22,9,8,13,0.681431464596085,-1.26352618812932,-0.793181803501345,0.521130370497566,0.287238114337081,0.539935609929693
"4809","TIAM",3,303,3012,0.5,0.8,7,10,"W",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","3_0_303","3_0","3_0_303_TIAM",4128.88552950578,582.528063938164,3546.35746556761,"3_0_303_16fa","3_0_303_16fa_TIAM",13,6,5,7,0.257145872664506,-0.953358700174631,-1.82501080473028,0.0482747874860802,-0.503340351639417,0.8715662936514
"4810","TIAM",2,410,10030,0.83,0.1,3,5,"I",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","2_0_410","2_0","2_0_410_TIAM",7019.84268580879,1026.24725252681,5993.59543328198,"2_0_410_16fa","2_0_410_16fa_TIAM",30,8,7,22,0.487322848661478,0.999793927918775,1.31050373726361,0.383771162811304,0.988562702558803,-0.951260365764085
"4814","TIAM",1,202,2006,0.15,0.05,6,4,"I",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_1_202","1_1","1_1_202_TIAM",4915.94344306523,1782.92344879357,3133.01999427166,"1_1_202_16fa","1_1_202_16fa_TIAM",15,9,8,6,0.711959367128284,-1.41459224167413,-0.794224599114241,0.521130370497566,-0.691982355343899,0.539935609929693
"4815","TIAM",2,304,4011,0.12,0.66,4,0,"I",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","2_0_304","2_0","2_0_304_TIAM",5105.17321762053,1435.20324734488,3669.96997027566,"2_0_304_16fa","2_0_304_16fa_TIAM",13,9,8,4,0.623716830626435,-0.825836600280693,-0.571079439710228,0.521130370497566,-1.16732224104129,-0.332358117077464
"4816","TIAM",3,107,7008,0.71,0.39,2,4.5,"F",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","3_0_107","3_0","3_0_107_TIAM",5959.62122156935,1033.72774107426,4925.89348049509,"3_0_107_16fa","3_0_107_16fa_TIAM",16,7,6,9,0.490275912837863,0.269606481397926,0.343181761319297,0.22804613679264,-0.188101771360311,-1.82355409277124
"4817","TIAM",2,304,4013,0,0.94,4,0,"I",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","2_0_304","2_0","2_0_304_TIAM",5105.17321762053,1435.20324734488,3669.96997027566,"2_0_304_16fa","2_0_304_16fa_TIAM",13,9,8,4,0.623716830626435,-0.825836600280693,-0.571079439710228,0.521130370497566,-1.16732224104129,-0.332358117077464
"4818","TIAM",1,304,4008,0.75,0.6,3,4.5,"I",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_1_304","1_1","1_1_304_TIAM",5790.70681800145,1665.65080107172,4125.05601692973,"1_1_304_16fa","1_1_304_16fa_TIAM",14,6,5,8,0.684283765961042,-0.390758826034396,0.173314728633857,0.0482747874860802,-0.336946311916534,-0.951260365764085
"4820","TIAM",3,209,9023,0.72,0.72,5,6,"F",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","3_1_209","3_1","3_1_209_TIAM",6427.60440760566,1550.88901393845,4876.71539366721,"3_1_209_16fa","3_1_209_16fa_TIAM",22,11,10,11,0.655247084410786,0.23226165922199,0.789788673397744,0.755153611458568,0.0694669030625142,0.147699762481336
"4821","TIAM",3,107,7010,0.24,0.86,4,0,"F",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","3_1_107","3_1","3_1_107_TIAM",5620.63861660443,1198.22155162062,4422.41706498381,"3_1_107_16fa","3_1_107_16fa_TIAM",17,8,7,9,0.550322373590777,-0.131688044599899,-0.0027940126629406,0.383771162811304,-0.188101771360311,-0.332358117077464
"4823","TIAM",2,405,5016,0.57,0,5,0,"W",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","2_0_405","2_0","2_0_405_TIAM",5243.16110251837,1494.00053478185,3749.16056773653,"2_0_405_16fa","2_0_405_16fa_TIAM",40,20,19,20,0.640047122568138,-0.746379282891124,-0.413514808267874,1.45235432709382,0.860045369039012,0.147699762481336
"4824","TIAM",1,202,2016,0.08,0.88,3,0,"I",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","1_1_202","1_1","1_1_202_TIAM",4915.94344306523,1782.92344879357,3133.01999427166,"1_1_202_16fa","1_1_202_16fa_TIAM",15,9,8,6,0.711959367128284,-1.41459224167413,-0.794224599114241,0.521130370497566,-0.691982355343899,-0.951260365764085
"4825","TIAM",3,107,7015,0.97,0.86,5,5,"F",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","3_1_107","3_1","3_1_107_TIAM",5620.63861660443,1198.22155162062,4422.41706498381,"3_1_107_16fa","3_1_107_16fa_TIAM",17,8,7,9,0.550322373590777,-0.131688044599899,-0.0027940126629406,0.383771162811304,-0.188101771360311,0.147699762481336
"4826","TIAM",2,405,5018,0.43,0.15,4,0,"W",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","2_0_405","2_0","2_0_405_TIAM",5243.16110251837,1494.00053478185,3749.16056773653,"2_0_405_16fa","2_0_405_16fa_TIAM",40,20,19,20,0.640047122568138,-0.746379282891124,-0.413514808267874,1.45235432709382,0.860045369039012,-0.332358117077464
"4827","TIAM",3,107,7019,0.5,0.53,4,0,"F",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","3_1_107","3_1","3_1_107_TIAM",5620.63861660443,1198.22155162062,4422.41706498381,"3_1_107_16fa","3_1_107_16fa_TIAM",17,8,7,9,0.550322373590777,-0.131688044599899,-0.0027940126629406,0.383771162811304,-0.188101771360311,-0.332358117077464
"4828","TIAM",2,103,3011,0.67,0.15,5,4,"I",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","2_1_103","2_1","2_1_103_TIAM",6729.33999314856,2191.66835929808,4537.67163385047,"2_1_103_16fa","2_1_103_16fa_TIAM",36,10,9,26,0.795925140266692,-0.0359319128920396,1.06081416341394,0.64400236875711,1.21508141246638,0.147699762481336
"4829","TIAM",2,201,1012,0.35,0.01,3,5,"F",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","2_0_201","2_0","2_0_201_TIAM",4236.22601460247,1356.23382941185,2879.99218519062,"2_0_201_16fa","2_0_201_16fa_TIAM",20,9,8,11,0.600699222736564,-1.72801426162524,-1.6733832451979,0.521130370497566,0.0694669030625142,-0.951260365764085
"4832","TIAM",1,408,8011,0.45,0.42,4,5,"F",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_0_408","1_0","1_0_408_TIAM",6045.36181490744,2388.26796153109,3657.09385337635,"1_0_408_16fa","1_0_408_16fa_TIAM",15,10,9,5,0.830873333675076,-0.838917938688685,0.427572503768712,0.64400236875711,-0.909753566618466,-0.332358117077464
"4834","TIAM",2,201,1018,0.34,0.48,5,5,"F",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","2_0_201","2_0","2_0_201_TIAM",4236.22601460247,1356.23382941185,2879.99218519062,"2_0_201_16fa","2_0_201_16fa_TIAM",20,9,8,11,0.600699222736564,-1.72801426162524,-1.6733832451979,0.521130370497566,0.0694669030625142,0.147699762481336
"4835","TIAM",2,405,5027,0.18,0.37,5,0,"W",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","2_0_405","2_0","2_0_405_TIAM",5243.16110251837,1494.00053478185,3749.16056773653,"2_0_405_16fa","2_0_405_16fa_TIAM",40,20,19,20,0.640047122568138,-0.746379282891124,-0.413514808267874,1.45235432709382,0.860045369039012,0.147699762481336
"4837","TIAM",2,103,3019,0.22,0.58,4,4.5,"I",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","2_1_103","2_1","2_1_103_TIAM",6729.33999314856,2191.66835929808,4537.67163385047,"2_1_103_16fa","2_1_103_16fa_TIAM",36,10,9,26,0.795925140266692,-0.0359319128920396,1.06081416341394,0.64400236875711,1.21508141246638,-0.332358117077464
"4838","TIAM",3,303,3011,0.7,1,4,5,"W",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","3_1_303","3_1","3_1_303_TIAM",6020.838285897,2207.04757802582,3813.79070787118,"3_1_303_16fa","3_1_303_16fa_TIAM",10,3,2,7,0.798769844488044,-0.682765508442599,0.403557894170748,-0.760077170850629,-0.503340351639417,-0.332358117077464
"4839","TIAM",3,103,3010,0.94,0.22,5,5,"I",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","3_1_103","3_1","3_1_103_TIAM",6235.84398134259,2837.86937653413,3397.97460480846,"3_1_103_16fa","3_1_103_16fa_TIAM",15,5,4,10,0.901047802355902,-1.11243891372213,0.610850627747786,-0.1643495895796,-0.0534555062511097,0.147699762481336
"4841","TIAM",1,505,5011,0.08,0.47,3,0,"I",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","1_1_505","1_1","1_1_505_TIAM",5349.32360941957,2208.01275222848,3141.31085719109,"1_1_505_16fa","1_1_505_16fa_TIAM",15,5,4,10,0.798947712066706,-1.404755995961,-0.295087911040267,-0.1643495895796,-0.0534555062511097,-0.951260365764085
"4842","TIAM",2,103,3026,0.37,0.83,4,5,"I",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","2_1_103","2_1","2_1_103_TIAM",6729.33999314856,2191.66835929808,4537.67163385047,"2_1_103_16fa","2_1_103_16fa_TIAM",36,10,9,26,0.795925140266692,-0.0359319128920396,1.06081416341394,0.64400236875711,1.21508141246638,-0.332358117077464
"4843","TIAM",2,406,6018,0.9,0.4,6,0,"F",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","2_1_406","2_1","2_1_406_TIAM",5609.00660708954,2328.30841585084,3280.69819123871,"2_1_406_16fa","2_1_406_16fa_TIAM",18,4,3,14,0.820529175972906,-1.24316490712019,-0.0150331654846271,-0.424580795525405,0.38470548334162,0.539935609929693
"4847","TIAM",2,309,9014,0.9,0.64,3,2.5,"W",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","2_0_309","2_0","2_0_309_TIAM",7136.78219979527,1230.73575848942,5906.04644130585,"2_0_309_16fa","2_0_309_16fa_TIAM",17,11,10,6,0.561210324228876,0.945026557117615,1.40810915569036,0.755153611458568,-0.691982355343899,-0.951260365764085
"4848","TIAM",3,503,3004,0.53,0.56,4.5,5,"F",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","3_0_503","3_0","3_0_503_TIAM",4139.39366984859,1164.62555316759,2974.768116681,"3_0_503_16fa","3_0_503_16fa_TIAM",4,2,1,2,0.538757573866848,-1.6075040972446,-1.80999414104609,-1.23293275386211,-1.88897403629944,-0.0789666387569279
"4849","TIAM",2,505,5023,0.63,1,4,4,"I",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","2_0_505","2_0","2_0_505_TIAM",4884.89197790678,1547.91568981496,3336.97628809181,"2_0_505_16fa","2_0_505_16fa_TIAM",20,7,6,13,0.654466549405405,-1.17985943248044,-0.831660039212886,0.22804613679264,0.287238114337081,-0.332358117077464
"4851","TIAM",3,302,2014,0.25,0.7,5,4,"F",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","3_1_302","3_1","3_1_302_TIAM",5709.4173428032,2124.09498763354,3585.32235516966,"3_1_302_16fa","3_1_302_16fa_TIAM",14,6,5,8,0.783184929116611,-0.912687898609505,0.0897926078828768,0.0482747874860802,-0.336946311916534,0.147699762481336
"4852","TIAM",3,504,4002,0.15,0.15,5,5,"F",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","3_0_504","3_0","3_0_504_TIAM",4424.55538922026,1272.82696889418,3151.72842032608,"3_0_504_16fa","3_0_504_16fa_TIAM",11,8,7,3,0.574886082183258,-1.39243338059179,-1.41640761356466,0.383771162811304,-1.4825608213204,0.147699762481336
"4854","TIAM",2,505,5029,0.3,0.73,4,4,"I",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","2_0_505","2_0","2_0_505_TIAM",4884.89197790678,1547.91568981496,3336.97628809181,"2_0_505_16fa","2_0_505_16fa_TIAM",20,7,6,13,0.654466549405405,-1.17985943248044,-0.831660039212886,0.22804613679264,0.287238114337081,-0.332358117077464
"4855","TIAM",2,208,8015,0.15,0.72,5,5.5,"I",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","2_0_208","2_0","2_0_208_TIAM",6083.99005660023,1264.5684921315,4819.42156446872,"2_0_208_16fa","2_0_208_16fa_TIAM",13,2,1,11,0.572238828538498,0.188276014732989,0.465202251132002,-1.23293275386211,0.0694669030625142,0.147699762481336
"4856","TIAM",2,103,3039,0.24,1,3,0,"I",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","2_1_103","2_1","2_1_103_TIAM",6729.33999314856,2191.66835929808,4537.67163385047,"2_1_103_16fa","2_1_103_16fa_TIAM",36,10,9,26,0.795925140266692,-0.0359319128920396,1.06081416341394,0.64400236875711,1.21508141246638,-0.951260365764085
"4857","TIAM",1,309,9016,0.38,0.35,3,5,"W",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","1_1_309","1_1","1_1_309_TIAM",5625.8561358117,819.422567879294,4806.43356793241,"1_1_309_16fa","1_1_309_16fa_TIAM",24,4,3,20,0.395821758853255,0.178232172003166,0.00268761322175662,-0.424580795525405,0.860045369039012,-0.951260365764085
"4858","TIAM",3,503,3022,0.75,0.1,5,7,"F",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","3_1_503","3_1","3_1_503_TIAM",5799.747325231,1546.28148277092,4253.46584246008,"3_1_503_16fa","3_1_503_16fa_TIAM",21,13,12,8,0.654036911173725,-0.276665128931454,0.182530992964089,0.949972980667469,-0.336946311916534,0.147699762481336
"4859","TIAM",2,301,1035,0.68,0.94,4,0,"I",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","2_1_301","2_1","2_1_301_TIAM",10411.3878664617,1578.38376923697,8833.00409722474,"2_1_301_16fa","2_1_301_16fa_TIAM",45,16,15,29,0.662394754999901,2.44316750395974,3.63915453111214,1.19212312114801,1.3639259530226,-0.332358117077464
"4860","TIAM",2,301,1038,0.4,0.78,3,0,"I",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","2_1_301","2_1","2_1_301_TIAM",10411.3878664617,1578.38376923697,8833.00409722474,"2_1_301_16fa","2_1_301_16fa_TIAM",45,16,15,29,0.662394754999901,2.44316750395974,3.63915453111214,1.19212312114801,1.3639259530226,-0.951260365764085
"4861","TIAM",2,301,1039,0.44,0.64,4,0,"I",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","2_1_301","2_1","2_1_301_TIAM",10411.3878664617,1578.38376923697,8833.00409722474,"2_1_301_16fa","2_1_301_16fa_TIAM",45,16,15,29,0.662394754999901,2.44316750395974,3.63915453111214,1.19212312114801,1.3639259530226,-0.332358117077464
"4862","TIAM",3,209,9021,0.22,0.97,5,6,"F",0,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","3_0_209","3_0","3_0_209_TIAM",5217.4477705392,1919.80601357159,3297.64175696761,"3_0_209_16fa","3_0_209_16fa_TIAM",26,7,6,19,0.742048785338063,-1.22399207556295,-0.442559365284631,0.22804613679264,0.791118698320669,0.147699762481336
"4863","TIAM",3,402,2007,0.12,0.89,5,6,"W",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,1,"16fa","3_1_402","3_1","3_1_402_TIAM",5535.30032263874,1619.71589306113,3915.58442957761,"3_1_402_16fa","3_1_402_16fa_TIAM",7,3,2,4,0.672908871405015,-0.584726589285514,-0.0931815988265992,-0.760077170850629,-1.16732224104129,0.147699762481336
"4864","TIAM",3,101,1016,0.64,0.45,3,0,"W",1,"tree","canopy","gravity","EM","shade_tolerant","deciduous",1,0,"16fa","3_1_101","3_1","3_1_101_TIAM",7916.78993790586,4237.12152731042,3679.66841059543,"3_1_101_16fa","3_1_101_16fa_TIAM",14,5,4,9,1.06413851239118,-0.816013852883727,2.02089814892722,-0.1643495895796,-0.188101771360311,-0.951260365764085
